word,word_id
lines,653
hamlet,654
presented,655
herein,656
barnardo,657
fran,658
nay,659
answer,660
me,661
stand,662
vnfold,663
selfe,664
bar,665
liue,666
king,667
ran,668
out,669
certain,670
words,671
had,672
packed,673
cliche,674
meaning,675
term,676
thus,677
being,678
unwilling,679
unpack,680
cliches,681
substitutions,682
very,683
odd,684
exchanges,685
u,686
v,687
wonder,688
did,689
way,690
presuming,691
actually,692
write,693
play,694
manner,695
possibly,696
having,697
vv,698
place,699
w,700
was,701
common,702
practice,703
quite,704
expensive,705
didn,706
spend,707
wider,708
selection,709
find,710
lot,711
kinds,712
mentioned,713
times,714
places,715
many,716
scholars,717
extreme,718
attachment,719
accorded,720
them,721
high,722
canon,723
my,724
father,725
him,726
cambridge,727
england,728
several,729
months,730
glass,731
room,732
constructed,733
best,734
knowledge,735
he,736
great,737
detail,738
determined,739
changes,740
likely,741
nearly,742
variety,743
credit,744
though,745
famous,746
signing,747
his,748
name,749
different,750
spellings,751
account,752
comments,753
volunteer,754
caveat,755
changed,756
scanner,757
isn,758
close,759
come,760
printed,761
pericles,762
prince,763
tyre,764
missing,765
because,766
wasn,767
sonnets,768
poems,769
elongated,770
conjoined,771
ae,772
left,773
capitalization,774
possible,775
mistakes,776
put,777
together,778
dictionary,779
devised,780
geneva,781
bible,782
unified,783
according,784
template,785
typo,786
expanded,787
abbreviations,788
across,789
everything,790
brackets,791
added,792
purer,793
another,794
thing,795
aware,796
textual,797
differences,798
between,799
printer,800
habit,801
setting,802
type,803
running,804
off,805
proofing,806
correcting,807
continuing,808
printing,809
run,810
proof,811
thrown,812
incorporated,813
composite,814
typos,815
disagree,816
choices,817
feel,818
make,819
address,820
haradda,821
aol,822
davidr,823
inconnect,824
hope,825
enjoy,826
david,827
reed,828
figure,829
thou,830
feest,831
gentle,832
cut,833
wherein,834
grauer,835
strife,836
naure,837
doo,838
life,839
haue,840
dravvne,841
vvit,842
vvell,843
frasse,844
hath,845
hit,846
hisface,847
vvould,848
surpasse,849
vvas,850
euer,851
looke,852
picture,853
booke,854
b,855
mr,856
shakespeares,857
comedies,858
histories,859
tragedies,860
published,861
true,862
london,863
ifaac,864
iaggard,865
ed,866
bount,867
1623,868
noble,869
incomparable,870
paire,871
brethren,872
earle,873
pembroke,874
c,875
lord,876
chamberlaine,877
kings,878
excellent,879
majesty,880
n,881
d,882
philip,883
montgomery,884
gentleman,885
majesties,886
bed,887
chamber,888
knights,889
order,890
garter,891
singular,892
l,893
r,894
honourable,895
whilst,896
studie,897
thankful,898
favors,899
falne,900
upon,901
ill,902
fortune,903
mingle,904
diverse,905
bee,906
feare,907
rashnesse,908
enterprize,909
successe,910
valew,911
h,912
sustaine,913
their,914
dignity,915
greater,916
descend,917
trifles,918
while,919
depriv,920
selves,921
defence,922
dedication,923
beene,924
pleas,925
thinke,926
heeretofore,927
prosequuted,928
authour,929
living,930
much,931
favour,932
fate,933
exequutor,934
owne,935
writings,936
indulgence,937
toward,938
done,939
unto,940
parent,941
difference,942
whether,943
patrones,944
finde,945
likings,946
severall,947
parts,948
acted,949
volume,950
ask,951
yours,952
collected,953
office,954
dead,955
procure,956
orphanes,957
guardians,958
ambition,959
profit,960
fame,961
onely,962
keepe,963
memory,964
worthy,965
friend,966
fellow,967
alive,968
k,969
humble,970
offer,971
playes,972
patronage,973
justly,974
observed,975
man,976
neere,977
religious,978
addresse,979
height,980
care,981
presenters,982
perfection,983
crave,984
abilities,985
considerd,986
lords,987
beyond,988
powers,989
hands,990
foorth,991
milke,992
creame,993
fruites,994
nations,995
heard,996
gummes,997
incense,998
obtained,999
requests,1000
leavened,1001
cake,1002
approach,1003
gods,1004
meanes,1005
meanest,1006
thins,1007
precious,1008
dedicated,1009
temples,1010
humbly,1011
consecrate,1012
remaines,1013
servant,1014
delight,1015
reputation,1016
faults,1017
ours,1018
committed,1019
payre,1020
carefull,1021
shew,1022
gratitude,1023
lordshippes,1024
bounden,1025
john,1026
heminge,1027
henry,1028
condell,1029
able,1030
spell,1031
weighd,1032
especially,1033
bookes,1034
depends,1035
capacities,1036
heads,1037
alone,1038
purses,1039
well,1040
publique,1041
wil,1042
priviledges,1043
wee,1044
censure,1045
buy,1046
doth,1047
commend,1048
stationer,1049
saies,1050
odde,1051
soever,1052
braines,1053
wisedomes,1054
licence,1055
same,1056
spare,1057
judge,1058
pen,1059
orth,1060
shillings,1061
worth,1062
five,1063
higher,1064
rise,1065
whatever,1066
drive,1067
trade,1068
jacke,1069
magistrate,1070
wit,1071
sit,1072
stage,1073
black,1074
friers,1075
cock,1076
pit,1077
arraigne,1078
dailie,1079
triall,1080
alreadie,1081
stood,1082
appeales,1083
quitted,1084
decree,1085
court,1086
purchas,1087
commendation,1088
bene,1089
confesse,1090
worthie,1091
wished,1092
himselfe,1093
liv,1094
overseen,1095
ordain,1096
death,1097
departed,1098
pray,1099
envie,1100
friends,1101
paine,1102
publish,1103
where,1104
abus,1105
stolne,1106
surreptitious,1107
maimed,1108
deformed,1109
frauds,1110
stealthes,1111
injurious,1112
impostors,1113
expos,1114
cur,1115
perfect,1116
limbes,1117
rest,1118
absolute,1119
numbers,1120
conceived,1121
happie,1122
imitator,1123
nature,1124
expresser,1125
mind,1126
hand,1127
went,1128
thought,1129
uttered,1130
easinesse,1131
scarse,1132
blot,1133
papers,1134
province,1135
gather,1136
praise,1137
reade,1138
divers,1139
enough,1140
draw,1141
lie,1142
hid,1143
lost,1144
againe,1145
doe,1146
surely,1147
manifest,1148
danger,1149
leave,1150
whom,1151
guides,1152
neede,1153
leade,1154
others,1155
henrie,1156
catalogve,1157
seuerall,1158
historie,1159
contained,1160
tempest,1161
gentlemen,1162
verona,1163
merry,1164
wives,1165
windsor,1166
measure,1167
comedy,1168
errours,1169
adoo,1170
nothing,1171
loves,1172
labour,1173
midsommer,1174
nights,1175
dreame,1176
merchant,1177
venice,1178
taming,1179
shrew,1180
ends,1181
twelfe,1182
night,1183
winters,1184
tale,1185
richard,1186
fourth,1187
fift,1188
sixt,1189
hen,1190
eight,1191
tragedy,1192
coriolanus,1193
titus,1194
andronicus,1195
romeo,1196
juliet,1197
timon,1198
athens,1199
julius,1200
caesar,1201
macbeth,1202
lear,1203
othello,1204
moore,1205
anthony,1206
cleopater,1207
cymbeline,1208
britaine,1209
beloved,1210
m,1211
envy,1212
thy,1213
am,1214
ample,1215
muse,1216
too,1217
tis,1218
men,1219
suffrage,1220
wayes,1221
paths,1222
meant,1223
seeliest,1224
ignorance,1225
light,1226
sounds,1227
eccho,1228
blinde,1229
affection,1230
ne,1231
re,1232
truth,1233
gropes,1234
urgeth,1235
chance,1236
crafty,1237
malice,1238
pretend,1239
thine,1240
ruine,1241
seem,1242
raise,1243
infamous,1244
baud,1245
whore,1246
matron,1247
hurt,1248
her,1249
art,1250
proofe,1251
against,1252
indeed,1253
th,1254
begin,1255
soule,1256
age,1257
applause,1258
lodge,1259
thee,1260
chaucer,1261
spenser,1262
bid,1263
beaumont,1264
lye,1265
little,1266
roome,1267
moniment,1268
tombe,1269
live,1270
wits,1271
mixe,1272
braine,1273
excuses,1274
meane,1275
disproportion,1276
muses,1277
judgement,1278
yeeres,1279
commit,1280
peeres,1281
farre,1282
dist,1283
lily,1284
shine,1285
sporting,1286
kid,1287
marlowes,1288
mighty,1289
line,1290
hadst,1291
latine,1292
lesse,1293
greeke,1294
thence,1295
honour,1296
seeke,1297
names,1298
call,1299
thund,1300
ring,1301
schilus,1302
euripides,1303
sophocles,1304
vs,1305
paccuvius,1306
accius,1307
cordova,1308
heare,1309
buskin,1310
tread,1311
shake,1312
sockes,1313
comparison,1314
insolent,1315
greece,1316
haughtie,1317
rome,1318
sent,1319
ashes,1320
triumph,1321
hast,1322
showe,1323
scenes,1324
europe,1325
homage,1326
owe,1327
prime,1328
apollo,1329
came,1330
warme,1331
eares,1332
mercury,1333
charme,1334
proud,1335
designes,1336
joy,1337
weare,1338
dressing,1339
richly,1340
spun,1341
woven,1342
fit,1343
she,1344
vouchsafe,1345
tart,1346
aristophanes,1347
neat,1348
terence,1349
witty,1350
plautus,1351
antiquated,1352
deserted,1353
natures,1354
family,1355
yet,1356
poets,1357
matter,1358
fashion,1359
casts,1360
sweat,1361
strike,1362
heat,1363
anvile,1364
turne,1365
thinkes,1366
frame,1367
lawrell,1368
gaine,1369
scorne,1370
poet,1371
borne,1372
wert,1373
fathers,1374
face,1375
lives,1376
issue,1377
race,1378
minde,1379
manners,1380
brightly,1381
shines,1382
toned,1383
filed,1384
seemes,1385
lance,1386
brandish,1387
eyes,1388
sweet,1389
swan,1390
avon,1391
fight,1392
waters,1393
appeare,1394
flights,1395
bankes,1396
thames,1397
eliza,1398
james,1399
stay,1400
hemisphere,1401
advanc,1402
constellation,1403
starre,1404
rage,1405
influence,1406
chide,1407
cheere,1408
drooping,1409
flight,1410
fro,1411
hence,1412
mourn,1413
despaires,1414
volumes,1415
j,1416
scenicke,1417
master,1418
clapt,1419
wring,1420
britaines,1421
brave,1422
dayes,1423
dainty,1424
globe,1425
heav,1426
earth,1427
dry,1428
de,1429
veine,1430
thespian,1431
spring,1432
turn,1433
teares,1434
phoebus,1435
clouds,1436
rayes,1437
corp,1438
coffin,1439
besticke,1440
bayes,1441
crown,1442
prologue,1443
gone,1444
grave,1445
deaths,1446
tyring,1447
house,1448
nuncius,1449
soone,1450
shall,1451
never,1452
memorie,1453
deceased,1454
maister,1455
speare,1456
length,1457
pious,1458
fellowes,1459
workes,1460
stone,1461
rent,1462
dissolves,1463
stratford,1464
brasse,1465
marble,1466
fade,1467
fresh,1468
ages,1469
posteritie,1470
loath,1471
prodegie,1472
speares,1473
ev,1474
ry,1475
verse,1476
revive,1477
redeeme,1478
herse,1479
fire,1480
cankring,1481
naso,1482
said,1483
fraught,1484
once,1485
invade,1486
beleeve,1487
mist,1488
untill,1489
bankrout,1490
sped,1491
imposible,1492
straine,1493
passions,1494
scene,1495
nobly,1496
half,1497
sword,1498
parlying,1499
romans,1500
spake,1501
feeling,1502
exprest,1503
canst,1504
dye,1505
eternally,1506
digges,1507
shakes,1508
wondred,1509
st,1510
worlds,1511
graves,1512
tels,1513
spectators,1514
enter,1515
actors,1516
acte,1517
exit,1518
mortalitie,1519
entrance,1520
plaudite,1521
containing,1522
truely,1523
principall,1524
actorsin,1525
burbadge,1526
hemmings,1527
augustine,1528
phillips,1529
kempt,1530
thomas,1531
poope,1532
george,1533
bryan,1534
slye,1535
cowly,1536
lowine,1537
samuell,1538
crosse,1539
alexander,1540
cooke,1541
samuel,1542
gilburne,1543
robert,1544
armin,1545
ostler,1546
nathan,1547
field,1548
underwood,1549
nicholas,1550
tooley,1551
ecclestone,1552
joseph,1553
taylor,1554
benfield,1555
goughe,1556
robinson,1557
shancke,1558
rice,1559
actus,1560
primus,1561
scena,1562
prima,1563
tempestuous,1564
noise,1565
thunder,1566
lightning,1567
ship,1568
boteswaine,1569
bote,1570
swaine,1571
botes,1572
heere,1573
mast,1574
speake,1575
mariners,1576
fall,1577
yarely,1578
selues,1579
ground,1580
bestirre,1581
heigh,1582
hearts,1583
cheerely,1584
harts,1585
yare,1586
toppe,1587
sale,1588
tend,1589
masters,1590
whistle,1591
blow,1592
burst,1593
winde,1594
alonso,1595
sebastian,1596
anthonio,1597
ferdinando,1598
gonzalo,1599
alon,1600
anth,1601
boson,1602
marre,1603
cabines,1604
assist,1605
storme,1606
gonz,1607
patient,1608
sea,1609
cares,1610
roarers,1611
cabine,1612
silence,1613
trouble,1614
gon,1615
remember,1616
aboord,1617
none,1618
loue,1619
counsellor,1620
command,1621
elements,1622
worke,1623
peace,1624
rope,1625
vse,1626
authoritie,1627
giue,1628
thankes,1629
liu,1630
readie,1631
mischance,1632
houre,1633
hap,1634
say,1635
comfort,1636
methinks,1637
drowning,1638
marke,1639
